TBKTOnline,TBKTTuluan,Nghi,Online,TX1,TX2,GK,Actual
4.28,2.9,11,0.9,4,5.5,4,0
4.27,3.6,12,1,3.5,6.5,6,0
4.25,3.8,4,0.7,3.5,6.5,2.5,0
4.25,3.7,4,0.2,7.5,6.5,4,0
4.24,2.3,0,0.2,5.5,7,3,0
4.23,2.2,2,0.6,7,7,3,0
4.21,2,9,0.9,2,1,3.5,0
4.2,4.6,5,0.8,5.5,6.5,6,0
4.19,3.2,1,0.2,4.5,5.5,5,0
4.19,2,4,0.5,0.5,5.5,2.5,0
4.18,3.8,0,0.1,3.5,7,4,0
4.18,2.8,10,0.8,4.5,4,4,0
4.18,2,8,0.4,5,7,1.5,0
4.18,1.4,4,0.5,3.5,6,7,0
4.16,4.2,2,0.5,8,7,3,0
4.16,3,5,0.8,6.5,7,4,0
4.16,1.9,1,0.6,6,7,3,0
4.16,1.8,2,0.2,8,4.5,5.5,0
4.13,4.6,0,0.5,3,4.5,4,0
4.13,3.1,10,0.4,5.5,6,4,0
4.13,1.4,4,0.1,3.5,5.5,4,0
4.11,4.6,5,0.6,6.5,5.5,5,0
4.11,3.3,3,0.6,3,7,4.5,0
4.09,3.8,1,0.6,8,5,2.5,0
4.08,3.7,14,0.3,2,0,0,0
4.06,4,5,0.5,5.5,6.5,6,0
4.06,3.8,9,0.4,4,6.5,6,0
4.06,2.3,2,0.3,5.5,3.5,4.5,0
4.05,3.6,6,0.2,7,9,4,0
4.04,2,1,0.6,6,7,2.5,0
4.02,4.8,8,1,8,7.5,4,0
4.02,3.7,4,0.1,5.5,5,5.5,0
4.02,2.4,1,0.9,7,6,5,0
4.02,2.1,0,0.7,5.5,8,1.5,0
4.01,2.5,7,0.8,6.5,7,5,0
4.01,1.5,10,0.6,2.5,6.5,5.5,0
3.99,1.4,0,0.3,6.5,6,4,0
3.98,4,10,0.9,8,5.5,4.5,0
3.97,3.1,8,0.3,7,6,4,0
3.96,3.5,4,0.3,4.5,4.5,2.5,0
3.96,1.7,12,1,6,5.5,3,0
3.95,3.3,6,0.6,7,6.5,5,0
3.95,1.6,5,0.5,6,5,2.5,0
3.94,4,2,0.8,5.5,3.5,4.5,0
3.94,2.3,5,0.3,5,5.5,6,0
3.94,2.2,1,0.3,6,6,5,0
3.93,2.3,8,0.4,6,0,2.5,0
3.92,4.6,8,0.5,5,6.5,5,0
3.92,3.5,2,0.4,3.5,6.5,3,0
3.92,1.4,11,1,1.5,1.5,1,0
3.92,1.4,6,0.7,8,6,4,0
3.89,4.9,4,0.3,7.5,8,4,0
3.89,1.5,2,0.9,5,7.5,4,0
3.88,2.4,4,0.3,2,4,2,0
3.87,1.4,4,0.7,5.5,5,3.5,0
3.85,4.3,2,0.8,6.5,6,3,0
3.84,3.3,7,0.8,2.5,4.5,7,0
3.84,2,2,1,4.5,3.5,3,0
3.81,2.8,2,0.7,4,7,3.5,0
3.8,4.6,3,1,6,7,5,0
3.8,1.6,0,0.8,4.5,7.5,5,0
3.8,1.6,10,0.3,7.5,5,4,0
3.79,2.9,12,0.5,2,4.5,4.5,0
3.79,2.2,5,0.2,5,7,6,0
3.78,3.9,10,0.2,4.5,6.5,5.5,0
3.78,3.4,0,0.8,3.5,7,4,0
3.75,4.5,6,1,5.5,6,3.5,0
3.73,4.7,4,0.5,8.5,6.5,4.5,0
3.71,4.7,0,0.6,6,7,5,0
3.71,3.9,1,0.9,3,7,5,0
3.71,3.5,2,0.6,2,6.5,4.5,0
3.71,1.8,6,0.5,6.5,7,4.5,0
3.69,4.1,4,0.6,4,4,4,0
3.68,4.8,5,0.9,3.5,5.5,3,0
3.67,1.7,7,0.6,7,6.5,4.5,0
3.67,1.2,10,0.4,4,5.5,6,0
3.66,4.6,10,0.4,6,3,5,0
3.66,3.3,3,0.5,5,5.5,4.5,0
3.65,3.4,4,0.5,4,5.5,2.5,0
3.64,4.1,0,0.6,8,6,5,0
3.64,1.4,0,0.3,4.5,6.5,6,0
3.62,2.4,2,0.4,6,7.5,5,0
3.61,4.9,1,0.7,7.5,4,5.5,0
3.61,4.5,7,0.5,6,6.5,4,0
3.61,4.3,8,0.8,7.5,5.5,3.5,0
3.61,2.1,6,0.8,4,5,3,0
3.6,3.7,0,0.1,6,6.5,5,0
3.6,2.4,7,1,4,6,6,0
3.6,2.3,0,0.3,5,4,7,0
3.59,1.3,0,0.9,6,6.5,4.5,0
3.58,3.4,6,0.2,2.5,5,2,0
3.57,2.3,3,0.5,5.5,6,6,0
3.56,4.5,11,0.4,6,6.5,4.5,0
3.56,4.3,4,0.6,6,5,4.5,0
3.55,3.6,12,1,5.5,3.5,4.5,0
3.53,4.6,11,0.2,8,6,5,0
3.53,3.4,10,0.2,5.5,6.5,5,0
3.53,2.1,3,0.6,5.5,7,3.5,0
3.52,3.8,11,0.3,0,0,0,0
3.51,3.8,9,0.5,6,6,6,0
3.51,2.5,2,0.9,3.5,6,3,0
3.49,4.4,14,0.7,2.5,0,2.5,0
3.49,3.8,11,0.4,3,7,3.5,0
3.49,2,8,0.3,7.5,6.5,3.5,0
3.49,1.8,22,0.9,5.5,5.5,3,0
3.49,1.8,3,0.6,7,7,4,0
3.49,1.8,10,0.6,4.5,6,3.5,0
3.47,3,7,0.7,6.5,7.5,4.5,0
3.47,2.3,10,0.8,7,4,4,0
3.46,4.1,3,0.9,3.5,6.5,2.5,0
3.46,3.6,14,0.9,2,0,3,0
3.46,2.2,2,0.5,3.5,5,1.5,0
3.45,3.7,3,0.5,5,5.5,4.5,0
3.45,3.4,7,0.6,6.5,3,5.5,0
3.45,2.8,4,0.8,7,5,3.5,0
3.45,1.5,0,0.9,5,6.5,6,0
3.43,3.4,12,1,3.5,7,6.5,0
3.43,2.5,11,0.5,5,6.5,2,0
3.43,2,10,0.4,7,5.5,3.5,0
3.42,4,0,0.9,6,4,4,0
3.42,2.5,2,0.5,2,3,3,0
3.41,3.6,5,0.8,6,6,3.5,0
3.4,3.4,11,0.3,5,6.5,4,0
3.4,2,6,0.9,6,6,3,0
3.39,3.1,27,0.8,0,0,0,0
3.39,2.9,1,0.1,5.5,6.5,2.5,0
3.38,3.8,2,0.2,3.5,6,5.5,0
3.38,2.4,4,0.6,5,4,6.5,0
3.37,3.8,7,0.5,3.5,5,4,0
3.36,2.7,10,0.4,6.5,5,2,0
